Game,Relation,They,Console,Year,Sales
super mario maker 2,BOSS_IN,bowser statue,Switch,2019,0.0
super mario bros. wonder,BOSS_IN,bowser statue,Switch,2023,0.0
super mario sunshine,BOSS_IN,bowser jr.,GC,2002,6.31
mario kart: double dash!!,BOSS_IN,bowser jr.,GC,2003,13.9
mario party ds,BOSS_IN,bowser jr.,DS,2007,8.91
mario & luigi: dream team,BOSS_IN,bowser jr.,3DS,2013,2.08
super smash bros. brawl,BOSS_IN,bowser jr.,Wii,2008,0.0
new super mario bros.,BOSS_IN,bowser jr.,DS,2006,29.8
mario party 9,BOSS_IN,bowser jr.,Wii,2012,3.13
mario & luigi: paper jam,BOSS_IN,bowser jr.,3DS,2015,0.76
mario & luigi: paper jam,BOSS_IN,bowser jr.,3DS,2016,0.76
super mario galaxy,BOSS_IN,bowser jr.,Wii,2007,11.35
mario kart wii,BOSS_IN,bowser jr.,Wii,2008,35.52
mario party: island tour,BOSS_IN,bowser jr.,3DS,2013,1.92
mario party: island tour,BOSS_IN,bowser jr.,3DS,2014,1.92
mario & luigi: superstar saga + bowser's minions,BOSS_IN,bowser jr.,3DS,2017,0.0
super smash bros. ultimate,BOSS_IN,bowser jr.,Switch,2018,0.0
super smash bros. ultimate,BOSS_IN,bowser jr.,Switch,2020,0.0
super smash bros. ultimate,BOSS_IN,bowser jr.,Switch,2019,0.0
new super mario bros. wii,BOSS_IN,bowser jr.,Wii,2009,28.32
mario kart arcade gp dx,BOSS_IN,bowser jr.,Arcade,2013,0.0
mario kart arcade gp dx,BOSS_IN,bowser jr.,Arcade,2017,0.0
mario kart arcade gp dx,BOSS_IN,bowser jr.,Arcade,2015,0.0
mario party 10,BOSS_IN,bowser jr.,WiiU,2015,1.58
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,bowser jr.,3DS,2018,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,bowser jr.,Switch,2018,0.0
super mario galaxy 2,BOSS_IN,bowser jr.,Wii,2010,7.51
mario party: star rush,BOSS_IN,bowser jr.,3DS,2016,0.3
mario & luigi: brothership,BOSS_IN,bowser jr.,Switch,2024,0.0
mario kart tour,BOSS_IN,bowser jr.,Mobile,2019,0.0
mario party: the top 100,BOSS_IN,bowser jr.,3DS,2017,0.0
mario kart live: home circuit,BOSS_IN,bowser jr.,Switch,2020,0.0
super mario party,BOSS_IN,bowser jr.,Switch,2018,0.0
super mario maker 2,BOSS_IN,bowser jr.,Switch,2019,0.0
mario kart world,BOSS_IN,bowser jr.,Switch 2,2025,0.0
mario party superstars,BOSS_IN,bowser jr.,Switch,2021,0.0
mario party superstars,BOSS_IN,bowser jr.,3DS,2017,0.0
super mario 3d world + bowser's fury,BOSS_IN,bowser jr.,Switch,2021,0.0
super mario bros. wonder,BOSS_IN,bowser jr.,Switch,2023,0.0
super mario bros. 3,BOSS_IN,bowser's castle,Nintendo,1988,22.48
super mario bros. 3,BOSS_IN,bowser's castle,Game & Watch,1990,22.48
super mario bros. 3,BOSS_IN,bowser's castle,NES,1988,22.48
mario & luigi: partners in time,BOSS_IN,bowser's castle,DS,2005,1.29
super mario world,BOSS_IN,bowser's castle,Nintendo,1990,26.07
super mario world,BOSS_IN,bowser's castle,Game & Watch,1991,26.07
super mario world,BOSS_IN,bowser's castle,Arcade,1993,26.07
super mario world,BOSS_IN,bowser's castle,SNES,1990,26.07
new super mario bros.,BOSS_IN,bowser's castle,DS,2006,29.8
mario & luigi: dream team,BOSS_IN,bowser's castle,3DS,2013,2.08
new super mario bros. wii,BOSS_IN,bowser's castle,Wii,2009,28.32
mario & luigi: paper jam,BOSS_IN,bowser's castle,3DS,2015,0.76
mario & luigi: paper jam,BOSS_IN,bowser's castle,3DS,2016,0.76
super mario galaxy 2,BOSS_IN,bowser's castle,Wii,2010,7.51
mario & luigi: brothership,BOSS_IN,bowser's castle,Switch,2024,0.0
super mario 3d land,BOSS_IN,bowser's castle,3DS,2011,10.81
